Identifiant;Nom générique;Nom de la manifestation;Descriptif court;Descriptif long;Date début;Date fin;Horaires;Dates affichage - horaires;Modification dernière minute;Lieu - nom;Lieu - adresse 1;Lieu - adresse 2;Lieu - adresse 3;Code postal;Commune;Type de manifestation;Catégorie de la manifestation;Thème de la manifestation;Station métro/Tram à proximité;GoogleMap latitude;GoogleMap longitude;Réservation téléphone;Réservation email;Réservation site internet;Manifestation gratuite;Tarif normal;Tarif enfant;Tranche âge enfant;Geo Point
FMAMID031V501RQ6;;LA GARONNE EXPOSE;Exposition d'artistes amateurs : peinture, sculpture et photo.;"La Garonne expose veut être une manifestation populaire, qui grâce à une grande diversité d'oeuvres de qualité, offre aux visiteurs un panel de pistes créatives, de points de départs à une réflexion, et où chacun se trouve alors en mesure de (re) définir sa propre conception de l'Art. 

Grâce à sa formule en plein air et gratuite, la Garonne expose permet un rapport enrichissant entre les artistes et le public. Les artistes sont présents pour informer les visiteurs sur leur démarche, leur inspiration... Ces rencontres aboutissent même pour certains artistes, à vendre leurs oeuvres ultérieurement ou à prendre des commandes personnalisées. 

Le passant peut, s'il le souhaite, rencontrer l'artiste à qui on demande d'être présent, et échanger sans barrière.";19/04/2020;27/12/2020;Tous les dimanches et jours fériés, de 10h à 19h.;Du 19/04/2020 au 27/12/2020 - Tous les dimanches et jours fériés, de 10h à 19h.;;QUAI DE LA DAURADE;;;;31000;TOULOUSE;Culturelle;Exposition;Peinture, Photographie, Sculpture;Capitole;43.6016515;1.43954899;;contact@la-garonne-expose.com;www.la-garonne-expose.com;Oui;;;4 - 7 ans  /  8 - 12 ans  /  plus de 12 ans;43.6016515,1.43954899
FMAMID031V50AKWB;;LA GUINGUETTE DE SAINT-CYPRIEN;La guinguette de Saint-Cyprien, située au jardin Raymond VI, offre l'une des plus belles vues sur la Garonne à Toulouse.;"Profitez pour manger et boire un verre sur les pelouses du jardin Raymond VI, le long de l’hôpital de la Grave, ou sur les marches.

Ouvert tous les jours de 11h à 20h30 jusqu'au mois d'octobre.";31/05/2020;31/10/2020;Tous les jours de 11h à 20h30.;Du 31/05/2020 au 31/10/2020 - Tous les jours de 11h à 20h30.;;JARDIN RAYMOND VI;;Allées Charles-de-Fitte;;31000;TOULOUSE;Insolite;Animations;Gastronomie;Saint Cyprien République;43.5975288;1.4311599;;;;;;;0 - 3 ans  /  4 - 7 ans  /  8 - 12 ans  /  plus de 12 ans;43.5975288,1.4311599
FMAMID031V50BEJS;;LA RUEE DES FADAS (REPORTE AU 11 OCTOBRE 2020);La Ruée des Fadas débarque à TOULOUSE dans un environnement exceptionnel pour une course Fadastique de 8 km !;"3000 Fadas déguisés prendront le départ de cette aventure complètement déjantée dans un domaine magnifique avec un seul but : franchir la ligne d'arrivée.
C’est quoi ce délire ?

Une course à pied déguisée de 8 ou 12 km avec des obstacles, de la boue, des passages dans l'eau et un max de délire !

Avec qui ? Seul ou en équipe sans limite de participants !

Le parcours ? Exceptionnel avec 30 à 40 obstacles à franchir. Du fun, des défis à relever et des ravitaillements pour rester en forme : tout pour réussir votre aventure !

Comment ? Dans la course déjantée de la Ruée, tous les fadas sont déguisés et relèvent le challenge de l’extrême grâce à l’esprit d’équipe, au mental et au dépassement de soi. Jamais en échec à la ruée, tous les obstacles peuvent être contournés !

Le moment de gloire ? Franchir la ligne d'arrivée...

Après l'effort, le réconfort : à boire, à manger et une bière de la cuvée des fadas vous attend. Fêtez ensemble votre exploit sur le village en musique !

N'attendez plus et venez vivre une course inoubliable parce que seul compte le plaisir de l’aventure !";11/10/2020;11/10/2020;;Le 11/10/2020;REPORTE;DIVERS LIEUX A TOULOUSE;;;;31000;TOULOUSE;Sports et loisirs;Animations, Sport;Course à pied;;43.649136;1.326251;;;www.facebook.com/events/443438172933866 https://rueedesfadas.fr/fadastour2020-toulouse;;;;;43.649136,1.326251
FMAMID031V50AIIM;;LE BOCAL POP UP ARTISAN;Durant une semaine, quatre artistes et artisans d'occitanie se regroupent pour un pop-up artisan au BoCAL, rue pargaminieres à Toulouse.;"Portrait ""minute"" au collodion humide, céramique poétique, bijoux contemporains et linogravure facétieuse envahissent le BoCAL  pour une semaine. Venez nous rencontrer et vous faire tirer le portrait.";22/06/2020;28/06/2020;De 10h à 19h.;Du 22/06/2020 au 28/06/2020 - De 10h à 19h.;;LE BOCAL;;9 rue Pargaminières;;31000;TOULOUSE;Manifestation commerciale;Animations;Artisanat;Capitole;43.6039252;1.4368151;;;;;;;;43.6039252,1.4368151
FMAMID031V50ITDC;;LE JARDIN JAPONAIS;"Visite guidée proposée par l'office de tourisme.  

À travers un fait historique, que diriez-vous de pousser plus loin l’aventure et d’explorer toutes les facettes de l’identité toulousaine ?";"L'art du niwaki, le hanami, ou encore le karesansui : vous avez une heure pour réviser vos connaissances sur la culture zen des mythiques jardins japonais. Rassurez-vous, cette balade n'est pas seulement réservée aux otakus (si vous n'avez rien compris, il faut vraiment venir !).

En cas de météo défavorable et de fermeture du jardin, la visite peut être annulée.

RDV  à la sortie du métro Compans-Caffarelli, devant l'hôtel Mercure. La réservation est conseillée, les places étant limitées.




MESURES SANITAIRES: 
-Le port du masque est obligatoire
-La visite est limitée à 10 personnes (guide compris) 
-Le guide portera une visière";20/06/2020;20/06/2020;A 10h30.;Le 20/06/2020 - A 10h30.;;METRO COMPANS-CAFFARELLI;;;;31000;TOULOUSE;Culturelle;Visites guidées;;Compans-Caffarelli;43.6103587;1.43549318;0 892 180 180 (0,45 € TTC/min);infos@toulouse-tourisme.com;resavacances.toulouse-tourisme.com/fr/evenements;;7,00 €;;;43.6103587,1.43549318
FMAMID031V50ISHH;;LE PLUS GRAND CABARET DU MONDE;"Présenté et animé par
Patrick SÉBASTIEN et plus de 50 Artistes sur scène.";Pendant plus de vingt ans, “Le plus grand cabaret du monde” a enchanté toutes les générations du plus petit au plus grand. Les artistes du monde entier, magiciens, acrobates, clowns, voltigeurs, vous ont émerveillé à la télévision. Aujourd’hui ils traversent l’écran pour venir chez vous. Un spectacle féérique de deux heures présenté par Patrick Sébastien arrive dans vos villes. Le talent, le frisson, le mystère, le rire, la beauté, l’exceptionnel, feront éclater un feu d’artifice de performances uniques. « Le plus grand cabaret du monde » en tournée, c’est « le rêve en vrai ».;09/12/2020;09/12/2020;A 20h30.;Le 09/12/2020 - A 20h30.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;;Spectacle;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/le-plus-grand-cabaret-du-monde-2238.html;;;;;43.598264,1.4092542
FMAMID031V502HDZ;;LES ALLEES, BROCANTE ET ANTIQUITES;Plus de 120 exposants professionnels vous attendent.;Plus de 120 exposants professionnels vous attendent. Un expert est présent samedi et dimanche sur ce rendez-vous mensuel. Restauration sur place. (Le vendredi déballage dès 8h00).;03/07/2020;05/07/2020;Vendredi de 7h à 18h. Samedi de 10h à 18h. Dimanche de 10h à 18h.;Du 03/07/2020 au 05/07/2020 - Vendredi de 7h à 18h. Samedi de 10h à 18h. Dimanche de 10h à 18h.;;ALLEES FRANCOIS VERDIER;;Allées François Verdier;;31000;TOULOUSE;Manifestation commerciale;Brocante;;François Verdier;43.599179;1.452455;;;www.brocante-les-allees.fr/fr/;Oui;;;8 - 12 ans  /  plus de 12 ans;43.599179,1.452455
FMAMID031V50IW1V;;LES CLEFS DE SAINT PIERRE : VIENNOISERIES;Retrouvez les musiciens de l’Orchestre National du Capitole de Toulouse dans l’intimité de formations de musique de chambre;"W. A. MOZART Quintette avec clarinette
en la majeur K. 581
J. BRAHMS Quatuor à cordes N° 3
en si bémol majeur opus 67

F. TARDY, clarinette
K. GJEZI, violon
E. EPP, violon
J. GIL, alto
P. GIL, violoncelle";11/01/2021;11/01/2021;A 20h.;Le 11/01/2021 - A 20h.;;AUDITORIUM SAINT PIERRE DES CUISINES;;12 Place Saint Pierre;;31000;TOULOUSE;Musique;Concert;Musique classique;Capitole;43.6043737;1.4357169;;;lesclefsdesaintpierre.org clefsdesaintpierre.festik.net;;De 11,00 € à 22,00 €;;;43.6043737,1.4357169
FMAMID031V50B3T9;;LES MARDIS MEDIEVAUX AU COUVENT DES JACOBINS;"Ils sont de retour ! 
Tous les mardis de l'été (juillet et août), plongez au cœur du XIIIème siècle dans les ailes du cloître des Jacobins. Et partez pour un voyage dans le temps participatif, immersif, éducatif et ludique...";"Le marchand et du pèlerin : ils vous raconteront avec humour et réalisme leurs voyages à traver l’Europe. L’un est en quête de tissus, de laines, de couleurs et de bien d'autres marchandises. L’autre est en quête d’aventures et de reliques.

Scénographie, costumes et décors, participent à faire de cette expérience un moment inoubliable et ludique, pour toute la famille.

Faîtes fi de tous vos préjugés sur le Moyen Âge !

QUAND ?

Rendez-vous tous les mardis de Juillet et Août 2020 :
Mardis 7, 14, 21 et 28 juillet 2020
Mardis 4, 11, 18, 25 août 2020


MESURES SANITAIRES: 
Dans le cadre des mesures sanitaires prises pour permettre une visite en toute sécurité :
-Un nombre maximal de 250 personnes est autorisé en simultané dans l'enceinte du monument. Si nécessaire, une file d'attente peut être créée à l'extérieur devant l'entrée.
-Le respect de distanciation sociale d'1m minimum est demandée aussi bien dans le monument que dans l'éventuelle file d'attente
-Le port du masque est très fortement recommandé pour tous les visiteurs.
-Du gel hydroalcoolique est mis à disposition du public à l'entrée du monument.
-Le parcours de visite a été adapté : nous vous remercions de bien vouloir respecter le sens de circulation durant toute votre visite.
Pour plus d'informations, merci de consulter directement le lieu.";;;Tous les mardis de 10h à 18h Tous les mardis de 10h à 18h Tous les mardis de 10h à 18h Tous les mardis de 10h à 18h Tous les mardis de 10h à 18h Tous les mardis de 10h à 18h Tous les mardis de 10h à 18h Tous les mardis de 10h à 18h;Le 07/07/2020 - Tous les mardis de 10h à 18h Le 14/07/2020 - Tous les mardis de 10h à 18h Le 21/07/2020 - Tous les mardis de 10h à 18h Le 28/07/2020 - Tous les mardis de 10h à 18h Le 04/08/2020 - Tous les mardis de 10h à 18h Le 11/08/2020 - Tous les mardis de 10h à 18h Le 18/08/2020 - Tous les mardis de 10h à 18h Le 25/08/2020 - Tous les mardis de 10h à 18h;;COUVENT DES JACOBINS;;Parvis des Jacobins;;31000;TOULOUSE;Culturelle;Animations;Médiéval;Capitole;43.6039108;1.43993492;;;www.jacobins.toulouse.fr;;De 3,00 € à 5,00 €;;4 - 7 ans  /  8 - 12 ans  /  plus de 12 ans;43.6039108,1.43993492
FMAMID031V50CF7B;;LES PÊCHEURS DE PERLES (SAISON THÉÂTRE DU CAPITOLE);"GEORGES BIZET (1838-1875)

Opéra en trois actes
Livret de Michel Carré et Eugène Cormon
Créé le 30 septembre 1863 au Théâtre-Lyrique de Paris";"Avant l’Espagne de Carmen, c’est à Ceylan que Bizet est allé chercher l’inspiration de son premier opéra : Les Pêcheurs de perles. Pour cette émouvante histoire de passion et d’amitié qui voit une jeune prêtresse manquer à ses voeux par amour, Bizet a laissé parler tout son lyrisme et son sens du drame. À 25 ans à peine, il éblouissait un critique aussi sévère que... Berlioz !
Autour d’Emmanuel Plasson à la baguette et Thomas Lebrun à la mise en scène et la chorégraphie, un sublime quatuor d’artistes avec, pour son grand retour sur une scène qui a connu ses débuts, Anne-Catherine Gillet !";;;A 20H00 A 20H00 A 20H00 A 20H00 A 20H00 A 15H00;Le 26/09/2020 - A 20H00 Le 29/09/2020 - A 20H00 Le 02/10/2020 - A 20H00 Le 07/10/2020 - A 20H00 Le 09/10/2020 - A 20H00 Le 04/10/2020 - A 15H00;;THEATRE DU CAPITOLE;;Place du Capitole;;31000;TOULOUSE;Culturelle, Musique;Opéra;Musique classique;Capitole;43.6044455;1.4439342;05 61 63 13 13;;www.theatreducapitole.fr;;De 10,00 € à 109,00 €;;;43.6044455,1.4439342
FMAMID031V50IEH0;;MESSMER;Le fascinateur Messmer est l’une des grandes références en hypnose et magnétisme à travers le monde. Détenteur du record mondial d’hypnose collective et avec plus d’un million de billets vendus à son actif, Messmer est de retour en France pour y présenter son tout nouveau spectacle, Hypersensoriel.;"Sommité dans l’art de la fascination, Messmer repousse à nouveau les limites du subconscient, en mettant cette fois à profit nos cinq sens. Quels sont leurs secrets, leurs pouvoirs insoupçonnés ?
Peut-on les décupler, les altérer ? Et si nous avions un 6e sens qui sommeille en nous ?
Après plusieurs années à étudier le cerveau humain pour amplifier ses propriétés, Messmer vous invite cette fois à stimuler et éveiller vos sens à travers des expériences et des aventures des plus étonnantes et divertissantes.
Hypersensoriel propose un grand rendez-vous interactif et euphorique, mettant à profit technologie et réalité virtuelle, alors que Messmer fait une fois de plus la démonstration de l’incroyable pouvoir du subconscient.

« Chacun de nos sens a des pouvoirs extraordinaires que nous méconnaissons et qui nous permettent d’appréhender notre environnement de façon bien plus précise qu’on ne le pense. » Messmer";19/03/2021;19/03/2021;A 20h.;Le 19/03/2021 - A 20h.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;;Spectacle;Comique;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/messmer-2249.html;;;;;43.598264,1.4092542
FMAMID031V50IV1Q;;MORT À VENISE (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

KAHCHUN WONG : DIRECTION
DANIEL LOZAKOVICH : VIOLON";"Sublimée par le cinéaste italien Luchino Visconti dans son crépuscule
vénitien, la Symphonie n° 5 exhale un parfum inoubliable. Originaire de
Singapour, Kahchun Wong est un prodige de la direction d’orchestre, qui n’aime rien tant que gravir les sommets du grand répertoire. Son interprétation de Mahler augure des sensations à fleur de peau.

FELIX MENDELSSOHN
CONCERTO POUR VIOLON N°2
EN MI MINEUR, OP. 64
GUSTAV MAHLER
SYMPHONIE N° 5 EN UT DIÈSE MINEUR";30/01/2021;30/01/2021;A 20h.;Le 30/01/2021 - A 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;;43.6002193,1.4533432
FMAMID031V50IV3F;;MUSIQUE COSMIQUE « THE PLANETS » (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

CHRISTOPHE MANGOU : DIRECTION
JEFF MILLS : DJ";Chaque venue de Jeff Mills est un événement à Toulouse. Le pionnier de la musique techno, originaire de Détroit, revient mixer avec l’Orchestre national du Capitole. Rencontre entre un musicien fasciné par d’autres univers et un orchestre prêt pour de nouvelles aventures.;29/04/2021;30/04/2021;Jeudi et vendredi à 20h.;Du 29/04/2021 au 30/04/2021 - Jeudi et vendredi à 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Insolite, Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;;43.6002193,1.4533432
FMAMID031V50IV0G;;NOUVEL ÉLAN (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

GÁBOR KÁLI: DIRECTION
ISTVÁN VÁRDAI : VIOLONCELLE";"Il est l’un des chefs les plus talentueux de sa génération; le hongrois Gábor Káli navigue du grand répertoire aux musiques d’aujourd’hui. Pour l’une de ses premières collaborations avec l’orchestre, il dirige une œuvre épique, traversée par le souffle des vastes plaines américaines et de la Bohême natale du
compositeur : la Symphonie n° 9 « Du Nouveau Monde » de Dvorák.

GYÖRGY KURTÁG
PETITE MUSIQUE SOLENNELLE
– EN HOMMAGE À PIERRE BOULEZ 90
ROBERT SCHUMANN
CONCERTO POUR VIOLONCELLE
EN LA MINEUR, OP. 129
ANTONÍN DVORÁK
SYMPHONIE N° 9 « DU NOUVEAU";28/11/2020;28/11/2020;A 20h.;Le 28/11/2020 - A 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;;43.6002193,1.4533432
FMAMID031V50IV0C;;POM-POM-POMPOM ! (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

MARZENA DIAKUN : DIRECTION
JEAN-FRANÇOIS ZYGEL : PIANO ET COMMENTAIRE";"La Cinquième Symphonie de Beethoven est sans aucun doute l’œuvre la plus connue du répertoire symphonique. Qui ne connaît les quatre notes initiales, ce « pom-pompom-pom » qui, selon Beethoven lui-même, représente le destin qui
frappe à la porte ? La symphonie fut dès le départ considérée comme une œuvre étrange, audacieuse, renversante. Jean-François Zygel raconte, décrypte, éclaire de l’intérieur cette partition étonnante et universellement célèbre.

LUDWIG VAN BEETHOVEN
SYMPHONIE N° 5 EN UT MINEUR, OP. 67";07/11/2020;07/11/2020;A 18h.;Le 07/11/2020 - A 18h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;;43.6002193,1.4533432
FMAMID031FS00089;;RETROJOUETS;Bourse internationale d'échanges d'automobiles miniatures et de jouets anciens.;230 Exposants, 3500m² d'exposition sur 4 salles.;;;;Le 19/04/2020 Le 11/10/2020;;LE PHARE;;32 Route de Tarbes;;31170;TOURNEFEUILLE;Sports et loisirs;Exposition, Foire ou salon;Automobile, Modélisme;;43.5743285;1.3193799;;;;Oui;;;8 - 12 ans  /  plus de 12 ans;43.5743285,1.3193799
FMAMID031V50ISYV;;SABINE DEVIEILHE & ALEXANDRE THARAUD (SAISON THÉÂTRE DU CAPITOLE);"Récital

Sabine Devieilhe Soprano
Alexandre Tharaud Piano";Sabine Devieilhe Soprano Alexandre Tharaud Piano   Claude Debussy (1862-1918) Nuit d’étoiles Francis Poulenc (1899-1963) Deux poèmes Louis Aragon 1-    « C » 2-    Fêtes galantes Gabriel Fauré (1845-1924) Après un rêve...;25/09/2020;25/09/2020;A 20H00;Le 25/09/2020 - A 20H00;;THEATRE DU CAPITOLE;;Place du Capitole;;31000;TOULOUSE;Culturelle, Musique;Concert, Récital;Musique classique;Capitole;43.6044292;1.4438121;05 61 63 13 13;;www.theatreducapitole.fr;;De  € à 20,00 €;;;43.6044292,1.4438121
FMAMID031V50EANZ;;SOIREE FOOD TRUCKS;Une dizaine de food trucks seront là pour vous régaler dont des menus végétariens. Entrée libre.;"C’est LE rassemblement toulousain de Food Trucks Gastronomiques.

Une découverte gourmande des produits de notre région, sur les berges de la Garonne totalement rénovées. Un travail de produits qualitatifs, locaux, gourmands, au gré du marché, mais aussi des produits labellisés (SIQO) ; le tout au sein de la plus belle terrasse de Toulouse en bord de Garonne…

Uniquement des trucks, bonne ambiance, scène musicale, convivialité … pour découvrir ou redécouvrir des recettes avec des produits régionaux ; sur place ou à emporter !

Une quinzaine de food trucks sont là pour vous régaler dont des menus végétariens. 

Entrée libre.";10/09/2020;10/09/2020;De 18h à 23h.;Le 10/09/2020 - De 18h à 23h.;;PORT VIGUERIE;;;;31300;TOULOUSE;;Animations;Gastronomie;Saint-Cyprien République;43.6007894;1.43575369;;;toulouseatable.org/foodtrucks;Oui;;;;43.6007894,1.43575369
